p_id,torwatch,torwarn,rec_all,rec_most,rec_soon,rec_sleep,rec_driving,rec_work,rec_store,rec_small_group,rec_large_group,rec_morn,rec_aft,rec_eve,alert_und,tor_watchwarn_und,tor_map_und,tor_radar_und,svr_watchwarn_und,und_morn,und_aft,und_eve,warn_time,warn_time_minutes,watch_time,watch_time_hours,warn_size,watch_size,resp_prot,resp_sleep,resp_driving,resp_work,resp_store,resp_small_group,resp_large_group,resp_morn,resp_aft,resp_eve,gend,age,hisp,race,nws_region,WARNING_AVG,weightfactor
EPO78CGBP25GCN74M3,NA,2,3,4,4,2,3,5,5,3,3,4,4,4,5,5,2,2,3,3,3,3,2,NA,2,1.5,2,2,3,4,1,1,3,2,2,2,2,4,0,26,1,2,Southern Region,49.166666666666664,0.337061
EPO78CLNLCWB27H4M0,NA,1,4,4,3,4,5,4,3,4,4,4,4,4,4,3,3,2,3,3,3,4,3,NA,3,NA,2,1,4,4,4,4,4,5,5,4,4,4,0,26,0,1,Southern Region,17.166666666666668,0.808382
EPO78CLSFT9KNS94M1,1,NA,4,4,3,2,1,3,2,3,4,3,4,4,3,3,2,3,3,4,3,4,2,NA,3,NA,2,3,3,4,3,4,2,3,3,3,4,4,0,29,0,1,Central Region,15.833333333333334,1.286403
EPO78CMQG8MR4ZD4M2,1,NA,4,5,5,3,4,3,4,3,3,3,4,4,5,3,4,4,4,3,4,4,1,10,1,NA,3,3,3,3,4,4,4,4,4,3,4,4,0,65,0,2,Central Region,15.833333333333334,0.24563
EPO78CN69SJ9J9Q4M2,2,NA,5,5,5,4,5,5,5,4,4,4,4,5,5,5,5,5,4,5,4,5,1,20,1,NA,3,2,5,4,4,4,4,4,4,4,5,5,1,68,0,2,Eastern Region,17.333333333333332,0.493179
EPO78CN6PQNQCTX4M1,NA,2,5,5,5,2,4,5,4,3,4,3,3,3,5,2,4,4,2,4,4,4,1,35,1,NA,1,1,5,2,2,5,4,4,4,3,3,3,0,50,0,1,Southern Region,49.166666666666664,1.141796
EPO78CNB2DZYLRR4M5,1,NA,4,5,4,3,2,3,3,3,2,3,2,3,5,2,3,2,2,2,3,4,2,NA,1,NA,1,1,2,2,3,3,2,3,3,4,4,5,0,22,0,1,Western Region,2.6666666666666665,0.700394
EPO78CNH4NVKRZP4M1,NA,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,NA,3,NA,1,1,5,4,5,4,5,5,5,5,5,5,1,37,0,1,Southern Region,17.166666666666668,0.594824
EPO78CNW2BP8Q274M3,NA,1,4,5,4,2,5,4,3,4,3,2,4,4,5,4,3,3,3,3,3,4,3,NA,2,24,3,3,3,2,5,4,5,4,4,3,4,4,0,55,0,2,Eastern Region,1.8333333333333333,0.599844
EPO78CNW9W3N4WW4M5,1,NA,2,4,3,2,4,5,3,3,3,3,4,1,4,2,2,3,3,3,3,1,2,NA,2,20,3,3,2,1,2,3,2,2,3,2,3,1,0,31,1,6,Eastern Region,1.8333333333333333,0.204394
EPO78CNXPQSKXJM4M4,NA,2,3,2,3,2,4,4,3,2,3,3,3,3,4,4,2,3,4,4,4,4,4,NA,4,NA,1,1,4,3,2,4,4,3,1,4,5,5,0,18,0,1,Eastern Region,33.833333333333336,1.204727
EPO78CNY9DGTMVT4M2,1,NA,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,2,NA,2,24,2,2,5,5,1,5,2,5,5,5,5,5,1,62,0,2,Central Region,15.833333333333334,0.448407
